Id,Weekly_Sales
1_1_2012-11-02,28787.147000000004
1_1_2012-11-09,20791.404000000002
1_1_2012-11-16,20444.910000000003
1_1_2012-11-23,21998.179
1_1_2012-11-30,23884.614999999998
1_1_2012-12-07,35378.775
1_1_2012-12-14,38101.145000000004
1_1_2012-12-21,40330.016
1_1_2012-12-28,21845.514000000003
1_1_2013-01-04,15808.927
1_1_2013-01-11,16436.067999999996
1_1_2013-01-18,17853.493
1_1_2013-01-25,17752.059
1_1_2013-02-01,22041.681999999997
1_1_2013-02-08,34201.003
1_1_2013-02-15,47143.689
1_1_2013-02-22,19822.915999999997
1_1_2013-03-01,20320.676
1_1_2013-03-08,21041.731000000003
1_1_2013-03-15,21234.351000000002
1_1_2013-03-22,21619.996000000003
1_1_2013-03-29,26763.447000000004
1_1_2013-04-05,38737.69
1_1_2013-04-12,33978.19300000001
1_1_2013-04-19,23807.913000000004
1_1_2013-04-26,16039.667000000001
1_1_2013-05-03,17731.045
1_1_2013-05-10,18505.803000000004
1_1_2013-05-17,16790.336000000003
1_1_2013-05-24,16419.753999999997
1_1_2013-05-31,16040.740999999998
1_1_2013-06-07,17629.397000000004
1_1_2013-06-14,16257.834000000003
1_1_2013-06-21,15969.928
1_1_2013-06-28,16906.967
1_1_2013-07-05,17364.651
1_1_2013-07-12,16573.095
1_1_2013-07-19,15595.857
1_1_2013-07-26,16009.637999999997
1_2_2012-11-02,45659.049000000006
1_2_2012-11-09,45023.939
1_2_2012-11-16,44914.51899999999
1_2_2012-11-23,42150.609
1_2_2012-11-30,44491.619
1_2_2012-12-07,47593.123
1_2_2012-12-14,49307.70999999999
1_2_2012-12-21,55276.884999999995
1_2_2012-12-28,43527.677
1_2_2013-01-04,42673.17899999999
1_2_2013-01-11,42673.17899999999
1_2_2013-01-18,42591.066000000006
1_2_2013-01-25,41807.134
1_2_2013-02-01,47956.047
1_2_2013-02-08,47620.782999999996
1_2_2013-02-15,49333.074
1_2_2013-02-22,48872.608
1_2_2013-03-01,49439.941000000006
1_2_2013-03-08,50666.746
1_2_2013-03-15,46629.856999999996
1_2_2013-03-22,43446.612
1_2_2013-03-29,45700.598000000005
1_2_2013-04-05,46729.884
1_2_2013-04-12,45808.55399999999
1_2_2013-04-19,48632.365
1_2_2013-04-26,49049.534999999996
1_2_2013-05-03,49543.479999999996
1_2_2013-05-10,45916.169
1_2_2013-05-17,45853.405999999995
1_2_2013-05-24,45309.631
1_2_2013-05-31,47018.824
1_2_2013-06-07,48128.381
1_2_2013-06-14,45829.570999999996
1_2_2013-06-21,45768.096999999994
1_2_2013-06-28,46300.634000000005
1_2_2013-07-05,47709.288
1_2_2013-07-12,43766.421
1_2_2013-07-19,45138.774
1_2_2013-07-26,45657.516
1_3_2012-11-02,10397.867999999999
1_3_2012-11-09,10760.219
1_3_2012-11-16,9924.723999999998
1_3_2012-11-23,10670.889
1_3_2012-11-30,10605.556000000002
1_3_2012-12-07,13537.634000000002
1_3_2012-12-14,12917.056
1_3_2012-12-21,13139.407000000001
1_3_2012-12-28,9898.126
1_3_2013-01-04,13578.684000000003
1_3_2013-01-11,12935.494000000002
1_3_2013-01-18,12459.960000000001
1_3_2013-01-25,11606.350999999999
1_3_2013-02-01,12250.391
1_3_2013-02-08,12132.767000000002
1_3_2013-02-15,10843.062999999998
1_3_2013-02-22,10675.073999999999
1_3_2013-03-01,11071.387999999997
1_3_2013-03-08,11299.257000000001
1_3_2013-03-15,8367.142
1_3_2013-03-22,10093.754000000003
1_3_2013-03-29,9629.113000000001
1_3_2013-04-05,10122.021000000002
1_3_2013-04-12,9087.012999999999
1_3_2013-04-19,8824.165
1_3_2013-04-26,8824.385
1_3_2013-05-03,9370.287
1_3_2013-05-10,9047.867000000002
1_3_2013-05-17,8312.180000000002
1_3_2013-05-24,8768.667000000001
1_3_2013-05-31,7835.974000000002
1_3_2013-06-07,8526.969000000001
1_3_2013-06-14,7569.873
1_3_2013-06-21,7200.548000000001
1_3_2013-06-28,7942.664999999999
1_3_2013-07-05,8673.454
1_3_2013-07-12,13253.833000000002
1_3_2013-07-19,18573.797
1_3_2013-07-26,21983.163000000004
1_4_2012-11-02,37522.19499999999
1_4_2012-11-09,37020.067
1_4_2012-11-16,36660.972
1_4_2012-11-23,46059.93200000001
1_4_2012-11-30,39544.89600000001
1_4_2012-12-07,38189.486
1_4_2012-12-14,38451.606
1_4_2012-12-21,44940.822
1_4_2012-12-28,39541.728
1_4_2013-01-04,39561.296
1_4_2013-01-11,36240.7
1_4_2013-01-18,34646.319
1_4_2013-01-25,34004.208
1_4_2013-02-01,37519.742
1_4_2013-02-08,37548.629
1_4_2013-02-15,36482.238000000005
1_4_2013-02-22,36427.202000000005
1_4_2013-03-01,37581.871
1_4_2013-03-08,39475.094
1_4_2013-03-15,37908.339
1_4_2013-03-22,34960.825999999994
1_4_2013-03-29,36575.941999999995
1_4_2013-04-05,35790.916
1_4_2013-04-12,37928.685000000005
1_4_2013-04-19,36536.085
1_4_2013-04-26,37305.958
1_4_2013-05-03,38176.294
1_4_2013-05-10,35571.966
1_4_2013-05-17,35954.996
1_4_2013-05-24,36537.702
1_4_2013-05-31,39498.15699999999
1_4_2013-06-07,38437.491
1_4_2013-06-14,36425.217
1_4_2013-06-21,36438.242
1_4_2013-06-28,38207.609
1_4_2013-07-05,39568.401
1_4_2013-07-12,35560.35
1_4_2013-07-19,36324.045999999995
1_4_2013-07-26,36497.66799999999
1_5_2012-11-02,25318.917999999998
1_5_2012-11-09,29076.251999999997
1_5_2012-11-16,28343.595999999998
1_5_2012-11-23,78046.38
1_5_2012-11-30,32215.47199999999
1_5_2012-12-07,38728.984
1_5_2012-12-14,38657.439
1_5_2012-12-21,46877.765
1_5_2012-12-28,31269.140000000007
1_5_2013-01-04,25336.000999999997
1_5_2013-01-11,22388.764999999996
1_5_2013-01-18,22009.706999999995
1_5_2013-01-25,23118.854999999992
1_5_2013-02-01,28604.749
1_5_2013-02-08,33190.234
1_5_2013-02-15,40443.869000000006
1_5_2013-02-22,29918.659000000003
1_5_2013-03-01,29740.725
1_5_2013-03-08,24924.958
1_5_2013-03-15,24529.326
1_5_2013-03-22,22519.205000000005
1_5_2013-03-29,23043.183
1_5_2013-04-05,20914.239999999998
1_5_2013-04-12,19636.655
1_5_2013-04-19,18810.914999999997
1_5_2013-04-26,18284.639999999996
1_5_2013-05-03,18665.271999999997
1_5_2013-05-10,17372.217
1_5_2013-05-17,17317.506
1_5_2013-05-24,16638.701
1_5_2013-05-31,17376.656000000003
1_5_2013-06-07,22014.025
1_5_2013-06-14,19960.516000000003
1_5_2013-06-21,20616.291000000005
1_5_2013-06-28,19074.157
1_5_2013-07-05,16953.650999999998
1_5_2013-07-12,19574.301
1_5_2013-07-19,19348.066
1_5_2013-07-26,17471.806
1_6_2012-11-02,3828.7349999999997
1_6_2012-11-09,3332.746
1_6_2012-11-16,3163.287
1_6_2012-11-23,20410.182999999997
1_6_2012-11-30,7468.0960000000005
1_6_2012-12-07,7355.675000000001
1_6_2012-12-14,8336.688000000002
1_6_2012-12-21,11914.414
1_6_2012-12-28,6913.5549999999985
1_6_2013-01-04,2203.648
1_6_2013-01-11,2300.1690000000003
1_6_2013-01-18,2175.4839999999995
1_6_2013-01-25,2473.2740000000003
1_6_2013-02-01,5089.463000000001
1_6_2013-02-08,6429.521
1_6_2013-02-15,4882.679
1_6_2013-02-22,4846.523
1_6_2013-03-01,4043.9980000000005
1_6_2013-03-08,5028.744000000001
1_6_2013-03-15,4551.183
